"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CHE","CPI","TOT","AGRWTH","M","1970-06",3.12241,
"CHE","CPI","TOT","AGRWTH","M","1970-07",3.39776,
"CHE","CPI","TOT","AGRWTH","M","1970-08",3.952971,
"CHE","CPI","TOT","AGRWTH","M","1970-09",4.506047,
"CHE","CPI","TOT","AGRWTH","M","1970-10",4.863652,
"CHE","CPI","TOT","AGRWTH","M","1970-11",5.366745,
"CHE","CPI","TOT","AGRWTH","M","1970-12",5.439717,
"CHE","CPI","TOT","AGRWTH","M","1971-01",5.788213,
"CHE","CPI","TOT","AGRWTH","M","1971-02",6.240952,
"CHE","CPI","TOT","AGRWTH","M","1971-03",6.678928,
"CHE","CPI","TOT","AGRWTH","M","1971-04",6.866535,
"CHE","CPI","TOT","AGRWTH","M","1971-05",6.976017,
"CHE","CPI","TOT","AGRWTH","M","1971-06",6.587168,
"CHE","CPI","TOT","AGRWTH","M","1971-07",6.750607,
"CHE","CPI","TOT","AGRWTH","M","1971-08",6.549015,
"CHE","CPI","TOT","AGRWTH","M","1971-09",6.682712,
"CHE","CPI","TOT","AGRWTH","M","1971-10",6.561051,
"CHE","CPI","TOT","AGRWTH","M","1971-11",6.564095,
"CHE","CPI","TOT","AGRWTH","M","1971-12",6.620942,
"CHE","CPI","TOT","AGRWTH","M","1972-01",6.663349,
"CHE","CPI","TOT","AGRWTH","M","1972-02",6.721669,
"CHE","CPI","TOT","AGRWTH","M","1972-03",6.342052,
"CHE","CPI","TOT","AGRWTH","M","1972-04",6.339207,
"CHE","CPI","TOT","AGRWTH","M","1972-05",6.27282,
"CHE","CPI","TOT","AGRWTH","M","1972-06",6.771087,
"CHE","CPI","TOT","AGRWTH","M","1972-07",6.406065,
"CHE","CPI","TOT","AGRWTH","M","1972-08",6.644583,
"CHE","CPI","TOT","AGRWTH","M","1972-09",6.760908,
"CHE","CPI","TOT","AGRWTH","M","1972-10",7.306755,
"CHE","CPI","TOT","AGRWTH","M","1972-11",6.806171,
"CHE","CPI","TOT","AGRWTH","M","1972-12",6.855426,
"CHE","CPI","TOT","AGRWTH","M","1973-01",7.373799,
"CHE","CPI","TOT","AGRWTH","M","1973-02",7.57516,
"CHE","CPI","TOT","AGRWTH","M","1973-03",8.194178,
"CHE","CPI","TOT","AGRWTH","M","1973-04",8.347219,
"CHE","CPI","TOT","AGRWTH","M","1973-05",8.023546,
"CHE","CPI","TOT","AGRWTH","M","1973-06",8.211845,
"CHE","CPI","TOT","AGRWTH","M","1973-07",8.287431,
"CHE","CPI","TOT","AGRWTH","M","1973-08",8.257567,
"CHE","CPI","TOT","AGRWTH","M","1973-09",8.261583,
"CHE","CPI","TOT","AGRWTH","M","1973-10",9.48658,
"CHE","CPI","TOT","AGRWTH","M","1973-11",10.84973,
"CHE","CPI","TOT","AGRWTH","M","1973-12",11.9238,
"CHE","CPI","TOT","AGRWTH","M","1974-01",11.56662,
"CHE","CPI","TOT","AGRWTH","M","1974-02",10.00906,
"CHE","CPI","TOT","AGRWTH","M","1974-03",9.63288,
"CHE","CPI","TOT","AGRWTH","M","1974-04",8.729362,
"CHE","CPI","TOT","AGRWTH","M","1974-05",9.834188,
"CHE","CPI","TOT","AGRWTH","M","1974-06",9.62004,
"CHE","CPI","TOT","AGRWTH","M","1974-07",9.820284,
"CHE","CPI","TOT","AGRWTH","M","1974-08",10.50328,
"CHE","CPI","TOT","AGRWTH","M","1974-09",11.34183,
"CHE","CPI","TOT","AGRWTH","M","1974-10",9.785572,
"CHE","CPI","TOT","AGRWTH","M","1974-11",9.034572,
"CHE","CPI","TOT","AGRWTH","M","1974-12",7.551874,
"CHE","CPI","TOT","AGRWTH","M","1975-01",7.290713,
"CHE","CPI","TOT","AGRWTH","M","1975-02",8.42161,
"CHE","CPI","TOT","AGRWTH","M","1975-03",8.319828,
"CHE","CPI","TOT","AGRWTH","M","1975-04",9.246454,
"CHE","CPI","TOT","AGRWTH","M","1975-05",8.156371,
"CHE","CPI","TOT","AGRWTH","M","1975-06",7.980797,
"CHE","CPI","TOT","AGRWTH","M","1975-07",7.428178,
"CHE","CPI","TOT","AGRWTH","M","1975-08",6.705584,
"CHE","CPI","TOT","AGRWTH","M","1975-09",5.380455,
"CHE","CPI","TOT","AGRWTH","M","1975-10",4.838411,
"CHE","CPI","TOT","AGRWTH","M","1975-11",3.704381,
